URL,Size,OutLinks,ContentType,,
https://www.c-span.org/search/?personid%5B%5D=104324&searchtype=Videos&sort=Newest,52535bytes,61,text/html,,
https://www.c-span.org/search/?personid%5B%5D=104324&searchtype=Videos&tagid%5B%5D=317,54947bytes,62,text/html,,
https://www.c-span.org/search/?personid%5B%5D=104324&searchtype=Videos,52519bytes,61,text/html,,
https://www.c-span.org/MyC-SPAN/login/?edate&personid%5B%5D=2496&redir=%2Fsearch%2F%3Fall%5B%5D%3Dgraham&sdate&searchtype=Videos&sort=Best%2BMatch&text=0,36259bytes,57,text/html,,
https://www.c-span.org/presidentsurvey2017/?personid=2484,35717bytes,79,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=688210&personid%5B%5D=76298&searchtype=Videos,52700bytes,59,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=707638&personid%5B%5D=76298&searchtype=Videos,70142bytes,85,text/html,,
https://www.c-span.org/search/?personid%5B%5D=76298&searchtype=Videos&tagid%5B%5D=5591,63388bytes,70,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2015&personid%5B%5D=76298&sdate=01%2F01%2F2015&searchtype=Videos&sort=Most%20Popular,78298bytes,111,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fperson%2F%3Fryanzinke,36244bytes,56,text/html,,
https://www.c-span.org/search/?personid%5B%5D=76298&searchtype=Videos&sort=Newest,77945bytes,99,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=689274&personid%5B%5D=76298&searchtype=Videos,77803bytes,107,text/html,,
https://www.c-span.org/search/?personid%5B%5D=76298&searchtype=Videos&tagid%5B%5D=1241,57173bytes,62,text/html,,
https://www.c-span.org/search/?personid%5B%5D=76298&searchtype=Videos&tagid%5B%5D=1163,54687bytes,62,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2017&personid%5B%5D=76298&sdate=01%2F01%2F2017&searchtype=Videos&sort=Most%20Popular,70343bytes,85,text/html,,
https://www.c-span.org/search/?personid%5B%5D=76298&searchtype=Videos,77929bytes,99,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=686181&personid%5B%5D=76298&searchtype=Videos,52042bytes,59,text/html,,
https://www.c-span.org/search/?personid%5B%5D=76158&searchtype=Videos,77798bytes,111,text/html,,
https://www.c-span.org/person/?buddycarter,40556bytes,84,text/html,,
https://www.c-span.org/search/?query=homeland%2Bsecurity&searchtype=Videos,75351bytes,104,text/html,,
https://www.c-span.org/search/?query=open%2Bphones&searchtype=Videos,73561bytes,106,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3D4th%252Bamendment%26searchtype%3DVideos,36342bytes,57,text/html,,
https://www.c-span.org/MyC-SPAN/login/?edate&redir=%2Fsearch%2F%3Fall%5B%5D%3Dcpac&sdate&searchtype=Videos&sort=Most%2BRecent%2BEvent&text=0,36253bytes,57,text/html,,
https://www.c-span.org/person/?billclinton,40687bytes,92,text/html,,
https://www.c-span.org/search/?personid%5B%5D=1651&searchtype=Videos,76734bytes,97,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3Dwashington%252Bjournal%26searchtype%3DVideos,36357bytes,57,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=700844&personid%5B%5D=102357&searchtype=Videos,56072bytes,63,text/html,,
https://www.c-span.org/search/?personid%5B%5D=102357&searchtype=Videos&tagid%5B%5D=389,57054bytes,62,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fperson%2F%3Fmarcfeldman,36250bytes,56,text/html,,
https://www.c-span.org/search/?personid%5B%5D=102357&searchtype=Videos&sort=Newest,55928bytes,63,text/html,,
https://www.c-span.org/search/?personid%5B%5D=102357&searchtype=Videos,55912bytes,63,text/html,,
https://www.c-span.org/search/?personid%5B%5D=102357&searchtype=Videos&tagid%5B%5D=275,58712bytes,64,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3Dlandmark%252Bcases%26searchtype%3DAll,36336bytes,57,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fedate%26formatid%255B%255D%3D28%26formatid_ex%255B%255D%3D33%26sdate%26searchtype%3DVideos%26sort%3DMost%252BRecent%252BEvent%26supremeCourt%3D1%26text%3D0,36606bytes,57,text/html,,
https://www.c-span.org/search/?personid%5B%5D=201&searchtype=Videos,73664bytes,108,text/html,,
https://www.c-span.org/search/?personid%5B%5D=24776&searchtype=Videos,77607bytes,97,text/html,,
https://www.c-span.org/person/?wromney,40177bytes,90,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=697820&personid%5B%5D=24776&searchtype=Videos,55784bytes,63,text/html,,
https://www.c-span.org/person/?duncanhunter,43425bytes,87,text/html,,
